File Type,Scanned Object,File Path,Line,Error Code,Description,Subject,Severity
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","14","220","Error: File could not be opened: DEFVAR","DEFVAR","S"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","79","220","Error: File could not be opened: CICS1","CICS1","S"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","79","220","Error: File could not be opened: DFHEIBLK","DFHEIBLK","S"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","79","220","Error: File could not be opened: DFHEIVAR","DFHEIVAR","S"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","79","220","Error: File could not be opened: DIBSTAT","DIBSTAT","S"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","88","10010","Error: Variable not in symbol table: EIBTRNID","EIBTRNID","E"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","89","10010","Error: Variable not in symbol table: EIBTRMID","EIBTRMID","E"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","90","10010","Error: Variable not in symbol table: EIBTASKN","EIBTASKN","E"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","101","10010","Error: Variable not in symbol table: EIBCALEN","EIBCALEN","E"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","109","10010","Error: Variable not in symbol table: EIBCALEN","EIBCALEN","E"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","117","10010","Error: Variable not in symbol table: EIBCALEN","EIBCALEN","E"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","256","10010","Error: Variable not in symbol table: EIBCALEN","EIBCALEN","E"
"CBL","RACUST1.CBL","c:\Users\Administrator\Desktop\WCA4Z-Data\refactoredGenApp\.wcaztmi\.expanded\RACUST\cobol\RACUST1.cbl","257","10010","Error: Variable not in symbol table: EIBCALEN","EIBCALEN","E"
